index;type;number;name;digit1;digit2;dimensions;surface;elevation;lat;lng;reference;region
23;LAD;1214;EA. NINA;01;19;500x40;TIERRA;59 mts.;292710,00S;0583549,00W;11 Km al S de PERUGORRIA, Provincia de CORRIENTES;DRNE
24;LAD;1300;RINCON DE LUNA;18;36;720x30;TIERRA;55 mts.;282802,00S;0581454,00W;18 Km al SSW de TABAY, Provincia de CORRIENTES;DRNE
25;LAD;1309;ROMANG;18;36;750x60;TIERRA;43 mts.;292913,00S;0594558,00W;2 Km al NW de LOCALIDAD, Provincia de SANTA FE;DRNE
26;LAD;1356;SANTA BARBARA;18;36;1400x30;TIERRA;59 mts.;283532,00S;0582247,00W;32 Km al E de SAN ROQUE, Provincia de CORRIENTES;DRNE
27;LAD;1379;SELVA;04;22;2000x55;TIERRA;85 mts.;284333,00S;0615250,00W;28 Km al WSW de VILLA MINETTI, Provincia de SANTIAGO DEL ESTERO;DRNO
28;LAD;1443;YATAY;16;34;600x15;TIERRA;77 mts.;285200,00S;0580500,00W;35 Km al N de MERCEDES, Provincia de CORRIENTES;DRNE
29;LAD;1464;EA. BUENA VISTA;13;31;750x50;TIERRA;70 mts.;282700,00S;0565800,00W;22 Km al NE de CNIA PELEGRINI, Provincia de CORRIENTES;DRNE
30;LAD;1729;CERRO VERDE;03;21;1200x30;TIERRA;87 mts.;284700,00S;0573300,00W;50 Km al S de CPELLEGRINI, Provincia de CORRIENTES;DRNE
31;LAD;1872;EO. LA SUSANA;01;19;1350x30;TIERRA;37 mts.;345416,00S;0592015,00W;15 Km al NNW de NAVARRO, Provincia de BUENOS AIRES;DRCE
32;LAD;1913;EA. LORETO;01;19;1000x30;TIERRA;116 mts.;334205,00S;0621500,00W;2 Km al N de MAGIOLO, Provincia de SANTA FE;DRCE
33;LAD;2064;EA. 13 DE ABRIL;18;36;900x20;TIERRA;84 mts.;353000,00S;0614700,00W;17 Km al W de SMITH, Provincia de BUENOS AIRES;DRCE
34;LAD;2099;EO. LAS TERESAS;05;23;1200x30;TIERRA;103 mts.;343653,00S;0620522,00W;6 Km al SW de GERMANIA, Provincia de BUENOS AIRES;DRCE
35;LAD;2100;EO. EL DESTINO;18;36;1160x30;TIERRA;64 mts.;300436,00S;0584142,00W;9 Km al E de SAUCE, Provincia de CORRIENTES;DRNE
36;LAD;2105;PICHANAL-FRANZINI;05;23;1000x30;TIERRA;306 mts.;232017,00S;0641420,00W;3 Km al SE de PICHANAL, Provincia de SALTA;DRNO
37;LAD;2175;EA. FATRALO;15;33;1200x20;TIERRA;127 mts.;365900,00S;0625200,00W;26 Km al NNW de CARHUE, Provincia de BUENOS AIRES;DRCE
38;LAD;2183;PARQUE NACIONAL LOS ALERCES;13;31;1000x30;TIERRA;535 mts.;425400,00S;0713600,00W;23 Km al W de ESQUEL, Provincia de CHUBUT;DRSU
39;LAD;2184;EA. MONTE TRISTE;06;24;600x15;TIERRA;239 mts.;433841,00S;0655604,00W;50 Km al SW de TRELEW, Provincia de CHUBUT;DRSU
40;LAD;2185;EA. LAS CUEVAS;18;36;1000x50;TIERRA;337 mts.;340200,00S;0645800,00W;24 Km al WNW de VILLA SARMIENTO, Provincia de CÓRDOBA;DRNO
41;LAD;2186;EA. DON ROBERTO;18;36;1000x50;TIERRA;325 mts.;371800,00S;0645300,00W;33 Km al WNW de GRALACHA, Provincia de LA PAMPA;DRCE
42;LAD;2187;ORTOPEDIA ALEMANA;18;36;1000x30;TIERRA;61 mts.;345300,00S;0603200,00W;1 Km al SE de WARNES, Provincia de BUENOS AIRES;DRCE
43;LAD;2188;EA. HUELUCAN;18;36;1000x50;TIERRA;323 mts.;344700,00S;0651800,00W;8 Km al SW de BUENA ESPERANZA, Provincia de SAN LUIS;DRNO
44;LAD;2189;EO. EL PARQUE;14;32;950x40;TIERRA;280 mts.;372651,00S;0590716,00W;12 Km al S de TANDIL, Provincia de BUENOS AIRES;DRCE
45;LADH;2190;QUILA QUINA;0;0;15x15;TIERRA;640 mts.;401004,00S;0712620,00W;8 Km al WSW de SAN M DE LOS ANDES, Provincia de NEUQUEN;DRCE
46;LADH;2191;TALLER AYALA;0;0;15x10;TIERRA;1850 mts.;410906,80S;0711711,61W;18 Km al WSW de BARILOCHE, Provincia de RÍO NEGRO;DRCE
47;LAD;2192;EA. LANGUEYU;18;36;560x18;TIERRA;280 mts.;364717,00S;0582127,00W;41 Km al NNE de AYACUCHO, Provincia de BUENOS AIRES;DRCE
48;LAD;2193;LAS CALAVERAS;05;23;1200x35;TIERRA;137 mts.;370200,00S;0631900,00W;4 Km al NW de ARANO, Provincia de BUENOS AIRES;DRCE
49;LAD;2194;EA. EL RANCHITO;12;30;1100x40;TIERRA;40 mts.;340200,00S;0595150,00W;22 Km al E de ARRECIFES, Provincia de BUENOS AIRES;DRCE
50;LAD;2195;EA. LA LIMPIA;01;19;850x30;TIERRA;35 mts.;364800,00S;0581600,00W;20 Km al E de SOLANET(AYACUCHO), Provincia de BUENOS AIRES;DRCE
51;LAD;2197;EO. SAN ANDRES;04;22;750x30;TIERRA;121 mts.;370140,00S;0622200,00W;5 Km al E de GUAMINI, Provincia de BUENOS AIRES;DRCE
52;LAD;2198;JUAN JOSE ANGELINI;14;32;750x50;TIERRA;51 mts.;342600,00S;0592900,00W;3 Km al W de SAN ANDRES DE GILES, Provincia de BUENOS AIRES;DRCE
53;LAD;2199;EA. LA VERDE-BS. AS.;05;23;900x45;TIERRA;25 mts.;354900,00S;0583900,00W;17 Km al W de GRALBELGRANO, Provincia de BUENOS AIRES;DRCE
54;LAD;2200;EO. MAMUEL MAPU;02;20;1400x40;TIERRA;165 mts.;370022,00S;0642711,00W;53 Km al SW de SANTA ROSA, Provincia de LA PAMPA;DRCE
55;LAD;2202;EA. UNELEN;14;32;1200x40;TIERRA;99 mts.;355807,00S;0630730,00W;33 Km al W de TRENQUE LAUQUEN, Provincia de BUENOS AIRES;DRCE
56;LAD;2203;ARROYO MALO;02;20;1100x30;TIERRA;43 mts.;322730,00S;0585850,00W;13 Km al SW de BASAVILBASO, Provincia de ENTRE RÍOS;DRCE
57;LADH;2204;VILLA DEL LAGO;0;0;20x20;TIERRA;626 mts.;312139,00S;0642807,00W;5 Km al S de VCARLOS PAZ, Provincia de CÓRDOBA;DRNO
58;LADH;2205;EO. LOS CORRALES;0;0;20x20;TIERRA;26 mts.;343050,00S;0590642,00W;6 Km al N de LUJAN, Provincia de BUENOS AIRES;DRCE
59;LADH;2206;BOSQUE ALEGRE;0;0;100x30;TIERRA;960 mts.;313554,00S;0643533,00W;14 Km al NW de SAN ANDRES ARREDONDO, Provincia de CÓRDOBA;DRNO
60;LADH;2207;CUMBRECITA;0;0;150x40;TIERRA;1319 mts.;315200,00S;0644427,00W;3,5 Km al NE de CUMBRECITA, Provincia de CÓRDOBA;DRNO
61;LAD;2208;SAN JOSE DE FELICIANO;18;36;1080x30;TIERRA;67 mts.;302318,00S;0584648,00W;3 Km al W de SAN JOSE DE FELICIANO, Provincia de ENTRE RÍOS;DRNE
62;LAD;2211;NICOLA HNOS;01;19;650x30;TIERRA;632 mts.;322710,00S;0642309,00W;1 Km al NNE de BERROTARAN, Provincia de CÓRDOBA;DRNO
63;LAD;2213;EA. EL PORVENIR;09;27;700x30;TIERRA;195 mts.;380730,00S;0610125,00W;32 Km al SE de CORONEL PRINGLES, Provincia de BUENOS AIRES;DRCE
64;LAD;2214;EA. EL INDIO;09;27;700x30;TIERRA;50 mts.;384826,00S;0610225,00W;23 Km al SE de CORONEL DORREGO, Provincia de BUENOS AIRES;DRCE
65;LADH;2215;SAN ANTONIO ESTE;0;0;20x20;TIERRA;86 mts.;404000,00S;0645000,00W;15 Km al SE de SAN ANTONIO OESTE, Provincia de RÍO NEGRO;DRSU
66;LAD;2216;LAS TRES MARIAS;01;19;800x30;TIERRA;59 mts.;274435,00S;0584630,00W;32 Km al S de VOR CORRIENTES, Provincia de CORRIENTES;DRNE
67;LAD;2217;EA. SAN ANTONIO;04;22;900x40;TIERRA;141 mts.;365630,00S;0611945,00W;50 Km al E de DAIREAUX, Provincia de BUENOS AIRES;DRCE
68;LAD;2218;EA. SAN BENITO;09;27;900x30;TIERRA;96 mts.;364406,00S;0591520,00W;20 Km al W de RAUCH, Provincia de BUENOS AIRES;DRCE
69;LAD;2219;EO. LA CARLOTA;15;33;1700x25;TIERRA;143 mts.;375600,00S;0591100,00W;40 Km al SE de TANDIL, Provincia de BUENOS AIRES;DRCE
70;LAD;2220;CAMPO AMANECER;05;23;700x30;TIERRA;26 mts.;335817,00S;0593145,00W;20 Km al S de BARADERO, Provincia de BUENOS AIRES;DRCE
71;LADH;2221;SAN ROQUE;0;0;120x50;TIERRA;680 mts.;312329,00S;0642928,00W;6 Km al N de VCARLOS PAZ, Provincia de CÓRDOBA;DRNO
72;LAD;2222;EA. SANTA TERESA;10;28;1130x25;TIERRA;26 mts.;324911,00S;0591059,00W;3,5 Km al E de ALDEA ASUNCION, Provincia de ENTRE RÍOS;DRCE
73;LAD;2223;EO. MONTE LEON;03;21;960x25;TIERRA;130 mts.;365500,00S;0631400,00W;30 Km al SW de SALLIQUELO, Provincia de BUENOS AIRES;DRCE
74;LAD;2225;EA. SANTA RITA;01;19;800x50;TIERRA;512 mts.;325600,00S;0642315,00W;10 Km al S de CORONEL BAIGORRIA, Provincia de CÓRDOBA;DRNO
75;LAD;2226;USPALLATA;15;33;2400x30;TIERRA;2029 mts.;323100,00S;0692100,00W;7 Km al NNW de USPALLATA, Provincia de MENDOZA;DRNO
76;LAD;2229;LA CASUALIDAD;14;32;800x30;TIERRA;66 mts.;313400,00S;0592100,00W;40 Km al NW de VILLAGUAY, Provincia de ENTRE RÍOS;DRCE
77;LAD;2230;EL MIRADOR-BS.AS.;06;24;750x20;TIERRA;50 mts.;343200,00S;0593500,00W;18 Km al SW de SAN ANDRES DE GILES, Provincia de BUENOS AIRES;DRCE
78;LAD;2231;C.A. BAVIO;06;24;700x30;TIERRA;57 mts.;361400,00S;0592205,00W;34 Km al SW de LAS FLORES, Provincia de BUENOS AIRES;DRCE
79;LADH;2232;CAMPAMENTO SAN PEDRITO;0;0;40x30;TIERRA;1050 mts.;222208,00S;0635933,00W;37 Km al NW de ADTARTAGAL, Provincia de SALTA;DRNO
80;LADH;2234;ZONA INTERMEDIA, KM 17;0;0;130x50;TIERRA;572 mts.;223212,00S;0635807,00W;17 Km al NW de AD TARTAGAL, Provincia de SALTA;DRNO
81;LAD;2237;EL CASTIGO;18;36;600x10;TIERRA;112 mts.;362705,00S;0621605,00W;10 Km al SE de GIRO DIAZ, Provincia de BUENOS AIRES;DRCE
82;LADH;2238;POLICIA 1;0;0;20x20;TIERRA;687 mts.;312408,00S;0642736,00W;5,5 Km al E de VILLA CARLOS PAZ, Provincia de CÓRDOBA;DRNO
83;LADH;2239;POLICIA 2;0;0;20x20;TIERRA;651 mts.;312518,00S;0643004,00W;3 Km al SE de VILLA CARLOS PAZ, Provincia de CÓRDOBA;DRNO
84;LADH;2240;POLICIA 3;0;0;40x30;TIERRA;761 mts.;312236,00S;0643104,00W;2,5 Km al N de VILLA CARLOS PAZ, Provincia de CÓRDOBA;DRNO
85;LADH;2241;POLICIA 4;0;0;30x30;TIERRA;707 mts.;312800,00S;0643044,00W;7,5 Km al S de VILLA CARLOS PAZ, Provincia de CÓRDOBA;DRNO
86;LAD;2242;EA. EL PARQUE;18;36;900x30;TIERRA;136 mts.;363525,00S;0633744,00W;15 Km al SW de LONQUIMAY, Provincia de LA PAMPA;DRCE
87;LAD;2243;LA MERCED;16;34;1050x50;TIERRA;60 mts.;320645,00S;0585446,00W;4 Km al E de LAS MOSCAS, Provincia de ENTRE RÍOS;DRCE
88;LAD;2246;EA. ENRIQUETA;09;27;800x20;TIERRA;293 mts.;501714,00S;0705428,00W;100 Km al E de LAGO ARGENTINO, Provincia de SANTA CRUZ;DRSU
89;LAD;2247;EL LABRIEGO;01;19;800x25;TIERRA;565 mts.;333708,00S;0653435,00W;14 Km al NW de VILLA MERCEDES, Provincia de SAN LUIS;DRNO
90;LAD;2248;DOS ADELAS S.A.;13;31;600x30;TIERRA;232 mts.;373405,00S;0592936,00W;30 Km al NE de BENITO JUAREZ, Provincia de BUENOS AIRES;DRCE
91;LAD;2249;EA. SAN MIGUEL-CORDOBA;17;35;1100x30;TIERRA;505 mts.;302025,00S;0642954,00W;12 Km al NW de DEAN FUNES, Provincia de CÓRDOBA;DRNO
92;LADH;2250;ROWAN LAS HERAS;0;0;25x25;TIERRA;333 mts.;463303,00S;0685550,00W;1,5 Km al E de COLONIA LAS HERAS, Provincia de CHUBUT;DRSU
93;LAD;2251;EA. SAN SIMON;16;34;1000x30;TIERRA;4 mts.;365938,00S;0572917,00W;31 Km al W de GRAL MADARIAGA, Provincia de BUENOS AIRES;DRCE
94;LAD;2252;EA. EL PALOMAR;15;33;900x30;TIERRA;108 mts.;380700,00S;0590600,00W;29 Km al W de LOBERIA, Provincia de BUENOS AIRES;DRCE
95;LAD;2253;EA. LAS TRES MARIAS-BS.AS.;17;35;1000x30;TIERRA;107 mts.;360300,00S;0631600,00W;30 Km al NNW de PELLEGRINI, Provincia de BUENOS AIRES;DRCE
96;LAD;2254;EA. LA FLORIDA;01;19;900x30;TIERRA;123 mts.;363711,00S;0622006,00W;45 Km al W de DAIREAUX, Provincia de BUENOS AIRES;DRCE
97;LAD;2255;EA. EL ABROJO;16;34;1200x30;TIERRA;220 mts.;375511,00S;0575003,00W;25 Km al W de MAR DEL PLATA, Provincia de BUENOS AIRES;DRCE
98;LAD;2257;EA. SANTA INES;06;24;1200x15;TIERRA;105 mts.;362124,00S;0620513,00W;13 Km al ESE de ESTMOURAS, Provincia de BUENOS AIRES;DRCE
99;LAD;2258;GARABATO(CAMPO DE TIRO FAA);10;28;1100x40;TIERRA;64 mts.;285430,00S;0601020,00W;5 Km al N de RECONQUISTA, Provincia de SANTA FE;DRNE
100;LAD;2260;CARLOS CASARES / MAILLO;16;34;760x40;TIERRA;84 mts.;353623,00S;0612056,00W;12 Km al N de CARLOS CASARES, Provincia de BUENOS AIRES;DRCE
101;LAD;2261;REVERDITO /ULM;03;21;250x25;TIERRA;2 mts.;330055,00S;0582919,00W;2,5 Km al E de GUALEGUAYCHU, Provincia de ENTRE RÍOS;DRCE
102;LAD;2262;EL RANCHO;11;29;750x30;TIERRA;55 mts.;372500,00S;0581000,00W;35 Km al SE de AYACUCHO, Provincia de BUENOS AIRES;DRCE
103;LAD;2263;EL QUEBRACHO;01;19;700x20;TIERRA;61 mts.;314900,00S;0590200,00W;5 Km al NNW de VILLAGUAY, Provincia de ENTRE RÍOS;DRCE
104;LADH;2264;POZO SAN ANTONIO X-1;0;0;30x30;TIERRA;945 mts.;223411,00S;0640457,00W;1 Km al E de ACAMBUCO, Provincia de SALTA;DRNO
105;LAD;2265;HARAS EL ROBLECITO S.A.;13;31;920x35;TIERRA;41 mts.;335518,00S;0595224,00W;30 Km al W de SAN PEDRO, Provincia de BUENOS AIRES;DRCE
106;LAD;2266;EL AMARGO;01;19;900x40;TIERRA;85 mts.;284121,00S;0614941,00W;50 Km al N de TOSTADO, Provincia de SANTA FE;DRNO
107;LAD;2267;CRUZ DEL EJE;01;19;1950x60;TIERRA;501 mts.;304048,00S;0644720,00W;1,5 Km al N de CRUZ DEL EJE, Provincia de CÓRDOBA;DRNO
108;LADH;2268;MUNDO FANTASTICO;0;0;15x15;TIERRA;703 mts.;312231,00S;0642932,00W;6 Km al N de VILLA CARLOS PAZ, Provincia de CÓRDOBA;DRNO
109;LAD;2270;EA. LA CANDELARIA;18;36;850x16;TIERRA;288 mts.;341515,00S;0645010,00W;9 Km al E de VILLA VALERIA, Provincia de CÓRDOBA;DRNO
110;LAD;2271;AGROAZUL;04;22;900x30;TIERRA;21 mts.;342457,00S;0585335,00W;2 Km al E de PILAR, Provincia de BUENOS AIRES;DRCE
111;LAD;2272;EA. LA MERCEDITA;18;36;1000x45;TIERRA;206 mts.;375654,00S;0641222,00W;42 Km al SW de BERNASCONI, Provincia de LA PAMPA;DRCE
112;LAD;2273;EA. HUELEN;18;36;1200x45;TIERRA;127 mts.;361154,00S;0634222,00W;55 Km al S de GENERAL PICO, Provincia de LA PAMPA;DRCE
113;LADH;2275;SAN ROQUE;0;0;20x20;TIERRA;235 mts.;380255,00S;0685137,00W;40 Km al N de AÑELO, Provincia de NEUQUEN;DRCE
114;LADH;2276;AGUADA PICHANA;0;0;20x20;TIERRA;421 mts.;382331,00S;0690545,00W;34 Km al W de AÑELO, Provincia de NEUQUEN;DRCE
115;LADH;2277;POLICIA 5;0;0;30x30;TIERRA;980 mts.;314330,00S;0650000,00W;4 Km al W de MINA CLAVERO, Provincia de CÓRDOBA;DRNO
116;LAD;2278;FENIX (SALAR H. MUERTO);12;30;2885x36;TIERRA;3985 mts.;252945,32S;0670513,25W;"71 Km al NE de ANTOFAGASTA DE LA SIERRA,
Provincia de CATAMARCA";DRNO
117;LADH;2279;QENTI;0;0;20x20;TIERRA;750 mts.;312928,00S;0643333,00W;3 Km al W de SAN ANTONIO, Provincia de CÓRDOBA;DRNO
118;LAD;2280;DON HERNAN;14;32;1100x30;TIERRA;492 mts.;341127,00S;0654547,00W;55 Km al S de VILLA MERCEDES, Provincia de SAN LUIS;DRNO
119;LAD;2282;LA LUISA DE SUIPACHA;15;33;900x30;TIERRA;45 mts.;344734,00S;0593552,00W;30 Km al W de MERCEDES, Provincia de BUENOS AIRES;DRCE
120;LAD;2283;EA. SAN JUAN;06;24;1300x40;TIERRA;83 mts.;353806,00S;0614010,00W;40 Km al E de PEHUAJO, Provincia de BUENOS AIRES;DRCE
121;LAD;2285;EA. MEDIA AGUA;18;36;1000x30;TIERRA;27 mts.;383346,00S;0590151,00W;26 Km al W de NECOCHEA, Provincia de BUENOS AIRES;DRCE
122;LAD;2287;PLANEADORES;12;30;1000x50;TIERRA;771 mts.;410135,00S;0710730,00W;20 Km al S de BARILOCHE, Provincia de RÍO NEGRO;DRCE
123;LADH;2288;LAS BAGUALAS;0;0;25x25;TIERRA;650 mts.;331301,00S;0644437,00W;"12,6 Km al SE de YACANTO DE CALAMUCHITA,
Provincia de CÓRDOBA";DRNO
124;LAD;2289;EA. LOS BAYOS;18;36;800x25;TIERRA;120 mts.;363452,00S;0621914,00W;10 Km al SW de EST ANDANT- GUAMINI, Provincia de BUENOS AIRES;DRCE
125;LAD;2290;LA CHANDELLE;14;32;700x30;TIERRA;32 mts.;341957,00S;0591716,00W;20 Km al E de SAN ANDRES DE GILES, Provincia de BUENOS AIRES;DRCE
126;LAD;2291;DON MARIANO;01;19;700x20;TIERRA;64 mts.;280840,00S;0584538,00W;1 Km al SE de SAN LORENZO, Provincia de CORRIENTES;DRNE
127;LAD;2292;EL ROBLEDAL DE LOS ARROYOS;14;32;750x30;TIERRA;30 mts.;374855,00S;0574435,00W;9 Km al W de COBO, Provincia de BUENOS AIRES;DRCE
128;LAD;2293;EA. LA ERCILIA;04;22;1000x18;TIERRA;35 mts.;360754,00S;0591457,00W;20 Km al SW de LAS FLORES, Provincia de BUENOS AIRES;DRCE
129;LAD;2294;LA BELGICA;02;20;1100x30;TIERRA;66 mts.;365500,00S;0583700,00W;30 Km al SW de AYACUCHO, Provincia de BUENOS AIRES;DRCE
130;LADH;2296;ESCUELA MILITAR DE MONTAÑA;0;0;10x10;TIERRA;819 mts.;410712,00S;0712436,00W;1 Km al W de BARILOCHE, Provincia de RÍO NEGRO;DRCE
131;LADH;2298;PUERTO SAN CARLOS;0;0;15x15;TIERRA;782 mts.;410756,39S;0711847,65W;2 Km al NW de BARILOCHE, Provincia de RÍO NEGRO;DRCE
132;LADH;2299;VILLA LA ANGOSTURA;0;0;15x15;TIERRA;860 mts.;410716,00S;0711216,00W;9 Km al NE de BARILOCHE, Provincia de RÍO NEGRO;DRCE
133;LADH;2300;POLICLINICO DEL VIDRIO;0;0;13x19;TIERRA;10 mts.;344235,00S;0581748,00W;3,2 Km al W de BERNAL, Provincia de BUENOS AIRES;DRCE
134;LADH;2301;VILLA GIARDINO;0;0;60x60;TIERRA;930 mts.;310350,00S;0643040,00W;1 Km al SW de VILLA GIARDINO, Provincia de CÓRDOBA;DRNO
135;LAD;2302;MINA PACHON;05;23;1200x24;TIERRA;3143 mts.;314442,00S;0701740,00W;80 Km al W de BARREAL, Provincia de SAN JUAN;DRNO
136;LAD;2303;CAVIAHUE;04;22;1600x30;TIERRA;1629 mts.;375200,00S;0705900,00W;4,5 Km al NE de CAVIAHUE, Provincia de NEUQUEN;DRCE
137;LAD;2304;EA. RUNCIMAN;05;23;1241x40;TIERRA;96 mts.;335416,00S;0614846,00W;1 Km al SE de RUNCIMAN, Provincia de SANTA FE;DRCE
138;LADH;2305;SAN ALEJO;0;0;15x15;TIERRA;1760 mts.;243305,00S;0652610,00W;31 Km al NNE de SALTA, Provincia de SALTA;DRNO
139;LADH;2306;LA MAROMA;0;0;15x15;TIERRA;1029 mts.;250924,00S;0652530,00W;45 Km al S de SALTA, Provincia de SALTA;DRNO
140;LADH;2307;LA POBLACION;0;0;15x15;TIERRA;519 mts.;252013,00S;0642419,00W;106 Km al SE de SALTA, Provincia de SALTA;DRNO
141;LAD;2308;DON FACUNDO;01;19;600x20;TIERRA;55 mts.;271602,00S;0591001,00W;21 Km al NW de COLONIA POPULAR, Provincia de CHACO;DRNE
142;LAD;2309;ANILLACO;18;36;2000x30;ASFALTO;1309 mts.;284742,00S;0665448,00W;1,5 Km al NE de ANILLACO, Provincia de LA RÍOJA;DRNO
143;LAD;2311;EA. LA CASSINA;02;20;900x30;TIERRA;114 mts.;364937,00S;0621801,00W;3,5 Km al W de LAGUNA ALSINA , Provincia de BUENOS AIRES;DRCE
144;LAD;2313;VIRGEN CANDELARIA;05;23;850x15;TIERRA;411 mts.;315906,00S;0653911,00W;20 Km al NE de CANDELARIA, Provincia de SAN LUIS;DRNO
145;LAD;2314;ALBAMOVIL;04;22;1000x25;TIERRA;103 mts.;270100,00S;0611100,00W;13 Km al W de LAS BREÑAS, Provincia de CHACO;DRNE
146;LAD;2316;SANTA MONICA;18;36;1100x60;TIERRA;650 mts.;320437,00S;0643516,00W;17 Km al NW de CALAMUCHITA, Provincia de CÓRDOBA;DRNO
147;LAD;2317;DON JORGE;01;19;800x30;TIERRA;420 mts.;320400,00S;0640533,00W;12 Km al N de RÍO TERCERO, Provincia de CÓRDOBA;DRNO
148;LAD;2318;EL REGRESO;06;24;1085x35;TIERRA;29 mts.;325112,00S;0592638,00W;2 Km al NW de EL LAZO, Provincia de ENTRE RÍOS;DRCE
149;LAD;2319;SANTA CATERINA;15;33;640x30;TIERRA;24 mts.;343607,00S;0591528,00W;3,5 Km al NW de OLIVERA, Provincia de BUENOS AIRES;DRCE
150;LAD;2320;EA. MOLINO NUEVO;16;34;1000x50;TIERRA;450 mts.;345447,00S;0660840,00W;14 Km al SSE de NAHUEL MAPA , Provincia de SAN LUIS;DRNO
151;LAD;2321;EO. LA COLUMBIA;01;19;1000x30;TIERRA;108 mts.;325501,00S;0622600,00W;17 Km al N de MONTE BUEY, Provincia de CÓRDOBA;DRNO
152;LADH;2322;RESIDENCIA OFICIAL GOBERNADOR;0;0;15x15;TIERRA;100 mts.;272417,00S;0555531,00W;8 Km al SW de POSADAS, Provincia de MISIONES;DRNE
153;LADH;2323;DIRECCION POLICIA FERROVIARIA;0;0;10X10;TIERRA;83 mts.;272210,00S;0555305,00W;0,8 Km al E de POSADAS, Provincia de MISIONES;DRNE
